"","logFC","AveExpr","t","PValue","FDR","B","symbol","group"
"hsa-miR-574-3p",-3.48140935668548,5.56544422134399,-13.1303834716531,7.11501656255009e-33,8.00439363286885e-32,63.910449991645,"hsa-miR-574-3p","miRNA"
"hsa-miR-139-3p",-5.58557334091132,1.99278580862913,-13.0487546518135,1.50155435186307e-32,1.6480474593619e-31,63.1725729195414,"hsa-miR-139-3p","miRNA"
"hsa-miR-182-5p",4.89070253205886,13.6632479317638,12.9949023370698,2.45532819034199e-32,2.63070877536641e-31,62.6855374431389,"hsa-miR-182-5p","miRNA"
"hsa-miR-142-3p",6.76473172859622,10.8050601612305,12.8394102234812,1.01120654792114e-31,1.05823941061514e-30,61.2765901337746,"hsa-miR-142-3p","miRNA"
"hsa-miR-148a-3p",3.8966782767397,15.7997206877733,12.7933546748828,1.53588930527486e-31,1.57079588039474e-30,60.869741000935,"hsa-miR-148a-3p","miRNA"
"hsa-miR-374b-5p",4.32083051924803,5.98429113419821,12.7769062512471,1.78289507321156e-31,1.78289507321156e-30,60.6386626796916,"hsa-miR-374b-5p","miRNA"
"hsa-miR-152-3p",3.7913428834872,7.43444508295945,12.7013147792628,3.53459196947713e-31,3.45775301361893e-30,60.0309446667615,"hsa-miR-152-3p","miRNA"
"hsa-let-7b-5p",-3.03326945928125,13.1409291528364,-12.6526668515787,5.48578741623794e-31,5.25234965384484e-30,59.6122679233305,"hsa-let-7b-5p","miRNA"
"hsa-miR-454-3p",3.92153125850402,2.61250107597827,12.5930043595221,9.39623336536448e-31,8.8089687800292e-30,58.9907861261247,"hsa-miR-454-3p","miRNA"
"hsa-miR-744-5p",-3.19121542888886,3.95566302072749,-12.5378574845186,1.54374757346467e-30,1.41772736338593e-29,58.5925310578174,"hsa-miR-744-5p","miRNA"
"hsa-miR-429",5.4868130445721,8.31432151692929,12.5192258116543,1.82531221660294e-30,1.64278099494265e-29,58.3897593259483,"hsa-miR-429","miRNA"
"hsa-miR-16-5p",4.28535375024708,9.12902998644881,12.4970854079584,2.22711178039521e-30,1.96509862976048e-29,58.2335355103781,"hsa-miR-16-5p","miRNA"
"hsa-miR-21-3p",2.98523035930996,11.5051400990577,12.0470907970279,1.22938348170944e-28,1.06388955147932e-27,54.2643887758456,"hsa-miR-21-3p","miRNA"
"hsa-miR-15a-5p",3.7054659638606,6.79955258398145,11.9538916594861,2.7986964377144e-28,2.37625169239902e-27,53.4467033614202,"hsa-miR-15a-5p","miRNA"
"hsa-miR-30b-5p",3.57340898780901,8.14902611319825,11.9305772300525,3.43663913812849e-28,2.86386594844041e-27,53.261376577044,"hsa-miR-30b-5p","miRNA"
"hsa-miR-129-5p",-5.20838636241421,0.949339107316788,-11.8699549128619,5.85660487156882e-28,4.79176762219267e-27,52.7283300669075,"hsa-miR-129-5p","miRNA"
"hsa-miR-708-3p",5.29700491722557,4.89424749195021,11.7335911601339,1.93388757640172e-27,1.55401680246567e-26,51.5083395313313,"hsa-miR-708-3p","miRNA"
"hsa-miR-15b-3p",4.28772699079591,4.96539961568082,11.6765341054122,3.18181707276853e-27,2.51196084692252e-26,51.0200448199828,"hsa-miR-15b-3p","miRNA"
"hsa-miR-335-3p",4.83338797243735,7.46569378666128,11.5829883820683,7.18022401352781e-27,5.57086345877158e-26,50.2483559257886,"hsa-miR-335-3p","miRNA"
"hsa-miR-484",-2.25597050589474,5.58974517883934,-11.5095263879245,1.35758909656006e-26,1.03544931093564e-25,49.6179530711763,"hsa-miR-484","miRNA"
"hsa-miR-20a-5p",5.25423005870487,8.71044417167176,11.497273687928,1.50947376742277e-26,1.13210532556708e-25,49.5306159602241,"hsa-miR-20a-5p","miRNA"
"hsa-miR-194-3p",-3.93505253069093,7.73028172245144,-11.4733433497902,1.85656637862442e-26,1.36959814816556e-25,49.2989479334954,"hsa-miR-194-3p","miRNA"
"hsa-miR-149-5p",-3.9342431928108,3.296313888973,-11.3457381348477,5.57799124384523e-26,4.04854203182315e-25,48.2237046765073,"hsa-miR-149-5p","miRNA"
"hsa-miR-181a-5p",-3.13414984435353,9.3326096977092,-11.1903077218848,2.1128972158269e-25,1.50921229701922e-24,46.897268087928,"hsa-miR-181a-5p","miRNA"
"hsa-miR-17-5p",3.97694418293626,9.75197950183329,11.1271591221811,3.62023505402979e-25,2.5454777723647e-24,46.3834945027102,"hsa-miR-17-5p","miRNA"
"hsa-miR-193b-5p",-3.44525809769716,1.24788070668831,-11.1217143629869,3.7920080119303e-25,2.62523631595174e-24,46.3539194594865,"hsa-miR-193b-5p","miRNA"
"hsa-miR-19a-3p",6.7326227204681,5.3772034113579,10.9473441087684,1.66329850829387e-24,1.13406716474582e-23,44.8833945208747,"hsa-miR-19a-3p","miRNA"
"hsa-miR-532-3p",-3.00907012729609,5.37218452578739,-10.8067617530427,5.43053964550273e-24,3.64737737384512e-23,43.7009732553193,"hsa-miR-532-3p","miRNA"
"hsa-miR-3615",-3.36204505614245,1.8316467745039,-10.8025872403011,5.62405109127284e-24,3.7217985162835e-23,43.6890370615067,"hsa-miR-3615","miRNA"
"hsa-miR-200a-3p",3.83271260296027,8.97134264879487,10.7919603744275,6.14816160760692e-24,4.00967061365669e-23,43.5986703590804,"hsa-miR-200a-3p","miRNA"
"hsa-miR-203a-3p",4.49941382164879,13.9737190477249,10.7553354019101,8.35518381922373e-24,5.3711895980724e-23,43.2702919486308,"hsa-miR-203a-3p","miRNA"
"hsa-miR-642a-5p",-4.58671124889522,1.34508014021305,-10.6970288844287,1.35998184014863e-23,8.61960321220964e-23,42.8090888184068,"hsa-miR-642a-5p","miRNA"
"hsa-miR-324-3p",-2.86104921007769,3.60272196692501,-10.672004311761,1.67553310146422e-23,1.04720818841514e-22,42.5945291355793,"hsa-miR-324-3p","miRNA"
"hsa-miR-4677-3p",3.37631253386602,2.58781403288432,10.5472454920698,4.72324891571238e-23,2.91159179735695e-22,41.6036038648008,"hsa-miR-4677-3p","miRNA"
"hsa-miR-185-5p",2.98471735387747,5.53504923533381,10.5323093640145,5.34483870233444e-23,3.25023975141959e-22,41.4921973495844,"hsa-miR-185-5p","miRNA"
"hsa-miR-7-1-3p",4.03597133922376,4.74471112034142,10.5106352272992,6.3940734511015e-23,3.8364440706609e-22,41.3072321990574,"hsa-miR-7-1-3p","miRNA"
"hsa-miR-369-3p",3.988936118966,2.69809286986766,10.4934039187391,7.37228567459575e-23,4.3651691494317e-22,41.1674264706031,"hsa-miR-369-3p","miRNA"
"hsa-miR-127-5p",3.99410638969304,7.58160560858553,10.4609023979377,9.63973146187681e-23,5.63360929590203e-22,40.9116909016943,"hsa-miR-127-5p","miRNA"
"hsa-miR-18a-5p",5.58356031593575,4.53433736393622,10.4559065205097,1.00449837176268e-22,5.79518291401548e-22,40.8646661803465,"hsa-miR-18a-5p","miRNA"
"hsa-miR-450b-5p",4.23332519141967,2.90542379643286,10.3315855002243,2.78923923866343e-22,1.58880716126398e-21,39.8639550834506,"hsa-miR-450b-5p","miRNA"
"hsa-miR-452-5p",4.7404382841014,6.49687021122973,10.3189562435265,3.09299499783338e-22,1.73980968628127e-21,39.7665356934998,"hsa-miR-452-5p","miRNA"
"hsa-miR-96-5p",4.74173521379955,3.98794969241936,10.280084374988,4.24978233325967e-22,2.36099018514426e-21,39.4516384758385,"hsa-miR-96-5p","miRNA"
"hsa-miR-708-5p",4.88983575957559,3.92907220390569,10.2464748886358,5.59036546819306e-22,3.06788348864253e-21,39.1830794261871,"hsa-miR-708-5p","miRNA"
"hsa-miR-589-5p",-2.07573122865386,5.61902971394933,-10.2316033766019,6.31042154909971e-22,3.42131288806611e-21,39.0107212188855,"hsa-miR-589-5p","miRNA"
