"","symbol","group","logFC","AveExpr","t","PValue","FDR","B"
"ENSG00000088756","ARHGAP28","protein_coding",-1.61685602092248,0.434421931325084,-10.254538347225,3.20159979147295e-22,2.22998647129756e-21,39.5623855484236
"ENSG00000074370","ATP2A3","protein_coding",-2.04974995943733,6.64646826922132,-10.253939107799,3.21759617759122e-22,2.24007564792189e-21,39.2111817033908
"ENSG00000111452","ADGRD1","protein_coding",-1.92608359178133,1.0671560642824,-10.2497539381186,3.33155189058208e-22,2.31723426195249e-21,39.4310408088532
"ENSG00000107242","PIP5K1B","protein_coding",-1.13736742708823,5.52854442325544,-10.2480094906952,3.38022575844838e-22,2.34998621912392e-21,39.1259726917279
"ENSG00000123473","STIL","protein_coding",1.15152218751293,4.40856713619483,10.2316903791343,3.87117393627851e-22,2.69003938506892e-21,39.1706308861447
"ENSG00000135749","PCNX2","protein_coding",1.27721970987477,3.80688353843954,10.223812520213,4.13289787906066e-22,2.86653310076917e-21,39.1990296064715
"ENSG00000196754","S100A2","protein_coding",3.431414198426,2.11470403197788,10.2185160836478,4.31866316970723e-22,2.99117876174769e-21,39.3997048998913
"ENSG00000136059","VILL","protein_coding",-1.68607148085106,5.86796459762321,-10.2179529036114,4.3388971913093e-22,3.00378954552015e-21,38.8883541581013
"ENSG00000142235","LMTK3","protein_coding",2.22925942225233,2.59335113065503,10.215370411468,4.43289361746099e-22,3.06599856266947e-21,39.3101403373458
"ENSG00000145649","GZMA","protein_coding",-1.86908636495361,2.0005472447336,-10.2128451812202,4.52676059225835e-22,3.12800212114001e-21,39.0209092550076
"ENSG00000138346","DNA2","protein_coding",1.37889026783665,3.35564646047684,10.2070647736643,4.74912361114428e-22,3.27402372857584e-21,39.1231966733573
"ENSG00000107833","NPM3","protein_coding",1.45737381217421,5.18935121782457,10.2058037969152,4.79905423303259e-22,3.30537090343908e-21,38.8935361073133
"ENSG00000105821","DNAJC2","protein_coding",1.12019924245683,5.20862460064108,10.1997449320238,5.0463312684407e-22,3.47084557126812e-21,38.8011484652356
"ENSG00000137070","IL11RA","protein_coding",-1.0933436628436,2.48310089418292,-10.1987444118153,5.0883648358948e-22,3.49813281992731e-21,38.9117395463261
