"","symbol","group","logFC","AveExpr","t","PValue","FDR","B"
"ENSG00000262468","LINC01569","long_non_coding",1.47807357512503,0.978017917462406,3.96153205476699,0.000170023140085213,0.00111391985654509,0.661285491699949
"ENSG00000224397","PELATON","long_non_coding",1.77970245779595,0.870799764534166,3.95529023222265,0.000173723709705178,0.001133891636926,0.661172236245602
"ENSG00000278291","AL161772.1","long_non_coding",1.98473412059022,1.2714739206712,3.88397374062092,0.000221879836812675,0.00138702321358539,0.426971641727932
"ENSG00000234432","AC092171.3","long_non_coding",1.43571245791305,0.586562605834201,3.84703334320533,0.000251612054519788,0.00153292687968276,0.322448387508032
"ENSG00000262001","DLGAP1-AS2","long_non_coding",1.7905372263527,2.50139539334964,3.83005636815419,0.000266521269245154,0.0016040866871185,0.162329174736702
"ENSG00000281398","SNHG4","long_non_coding",1.82349524935904,1.51334008533153,3.7986522151566,0.00029635521989656,0.00174767649042144,0.134962023304385
"ENSG00000260920","AL031985.3","long_non_coding",1.04758934632527,0.50579682068645,3.77875327014719,0.000316883321611205,0.00184569938035605,0.0964393122378615
"ENSG00000233937","CTC-338M12.4","long_non_coding",1.24363389951549,0.377233034259308,3.74966910883834,0.00034934554657292,0.0019963217778483,0.0216739274042794
"ENSG00000178977","LINC00324","long_non_coding",-1.15060979788686,0.423465680243493,-3.7191123279833,0.000386859232119289,0.0021723153248071,-0.217994459381329
"ENSG00000225138","SLC9A3-AS1","long_non_coding",3.08984978579827,3.36054235324939,3.66758957724427,0.000458954374465959,0.00249252135754757,-0.321821822950131
"ENSG00000230061","TRPM2-AS","long_non_coding",4.29150760820255,0.231575260325949,3.65183565736015,0.00048343959637813,0.00259820762983903,-0.243656732681155
"ENSG00000262580","AC087741.1","long_non_coding",1.81075230044745,0.736994685912669,3.64216366618734,0.000499082630499586,0.00265967061594588,-0.296406406599814
"ENSG00000234072","AC074117.1","long_non_coding",1.0770168346086,2.02442473739813,3.62104066779712,0.000534936418828258,0.00282369284610332,-0.500316988277081
"ENSG00000228109","MELTF-AS1","long_non_coding",1.59715320301845,0.349520631088024,3.56145555117435,0.000649737195470257,0.00329824622328314,-0.520271213934647
"ENSG00000276672","AL161891.1","long_non_coding",1.29292471467977,0.243820121443869,3.55937310312964,0.000654144528371908,0.00331215735170181,-0.53850672306257
"ENSG00000226812","AL117382.1","long_non_coding",2.1577911076572,2.50815867837815,3.55659890654715,0.000660059967539758,0.00333603709611573,-0.656401123222012
"ENSG00000232803","SLCO4A1-AS1","long_non_coding",3.97807039586252,1.92032337805467,3.53317876165968,0.00071206126282727,0.0035600503611303,-0.597762255826432
"ENSG00000224078","SNHG14","long_non_coding",-1.78338004757185,2.10446266814379,-3.52845242420866,0.000723016108679725,0.00360704126815864,-1.0552347916304
"ENSG00000279738","AL022311.1","long_non_coding",1.10672664462281,0.547703032754372,3.47417887549896,0.000860812701506192,0.00416308896566398,-0.810573100390635
"ENSG00000239415","AP001469.3","long_non_coding",1.1328739221287,0.370544971693737,3.4490843327413,0.000932610102533374,0.00444539887461847,-0.875402832367956
"ENSG00000232442","MHENCR","long_non_coding",1.83116748063109,1.91180902101003,3.37959955258824,0.00116208790030475,0.00532920560677179,-1.13946050366821
"ENSG00000228288","PCAT6","long_non_coding",1.37748308489319,0.34114224452446,3.37596759252449,0.00117543969858243,0.0053674296676241,-1.0661668732395
"ENSG00000270933","AC010719.1","long_non_coding",2.16183042074175,-0.135274840888156,3.36527441707752,0.00121559453845902,0.00551818029876842,-1.07120316042698
"ENSG00000245910","SNHG6","long_non_coding",1.0192664491617,5.3780509901326,3.34302528055628,0.00130332335517688,0.00585338215923641,-1.6769436174559
"ENSG00000245149","RNF139-AS1","long_non_coding",1.35127118850196,0.201142801361853,3.3307182851936,0.00135437705542158,0.00603589569492429,-1.1880731300798
"ENSG00000260966","AP001486.2","long_non_coding",-1.12339117077986,0.300108831195115,-3.31662479034847,0.00141515207466653,0.00626060757205368,-1.40427881683886
"ENSG00000245248","USP2-AS1","long_non_coding",1.52889065498321,0.138606387699655,3.30543571953954,0.00146521954514249,0.00643096833492804,-1.24712984265574
"ENSG00000269293","ZSCAN16-AS1","long_non_coding",-1.07844795691077,0.500306380711249,-3.2039575848993,0.00200173528474144,0.00830740245169288,-1.73135751030996
"ENSG00000222041","CYTOR","long_non_coding",1.29256845614475,2.32603142328845,3.19991591166401,0.00202651244081225,0.00838143370183097,-1.72821190276747
"ENSG00000188185","LINC00265","long_non_coding",1.39180658404636,1.72222237292441,3.17529592508269,0.00218375263782718,0.0088942358534519,-1.7354485869249
"ENSG00000261971","MMP25-AS1","long_non_coding",1.32065993566404,1.12484863198415,3.16955600853841,0.00222201702168748,0.00901313349508636,-1.70107010080259
"ENSG00000269352","PTOV1-AS2","long_non_coding",1.29210867607976,0.329416085589913,3.16795131197093,0.00223282611645944,0.00905433774164266,-1.64651933776342
"ENSG00000179406","LINC00174","long_non_coding",1.41674813074035,1.72133951327846,3.16376800087677,0.00226123609490046,0.00915619587888517,-1.76463895740158
"ENSG00000261505","AL031714.1","long_non_coding",1.43012723010088,1.05428043244512,3.12928504254514,0.0025086227274919,0.00996072895138021,-1.79834974989773
"ENSG00000268858","AL118506.1","long_non_coding",1.06386698212408,1.46588826589717,3.12542731968928,0.00253781771638315,0.0100536902925586,-1.87198507140199
"ENSG00000238279","BX470102.1","long_non_coding",1.80439102623987,0.231491122992912,3.12060408426381,0.00257476568259685,0.0101537895886702,-1.74669791235532
