"","logFC","AveExpr","t","PValue","FDR","B","symbol","group"
"hsa-miR-132-3p",-1.35592065502942,6.0575570458003,-2.62512428577489,0.0105426080949016,0.0180730424484028,-3.28301393163159,"hsa-miR-132-3p","miRNA"
"hsa-miR-493-5p",2.18927607728435,2.94173004080178,2.59544931802434,0.0114115410881407,0.0194893735437908,-3.04709389405131,"hsa-miR-493-5p","miRNA"
"hsa-miR-4662a-5p",3.01431467048106,2.62119603651165,2.59199592291762,0.0115167681760736,0.0195956951055581,-3.05473582404986,"hsa-miR-4662a-5p","miRNA"
"hsa-miR-181a-2-3p",-1.14858845022935,8.90172237884664,-2.58872339387254,0.0116172943283481,0.0196932573000994,-3.40000090315573,"hsa-miR-181a-2-3p","miRNA"
"hsa-miR-148a-5p",2.15297099028665,5.76014228592014,2.52306240803292,0.0138095032509221,0.0233227166015574,-3.33560928595049,"hsa-miR-148a-5p","miRNA"
"hsa-miR-29c-5p",-1.36862100381335,4.11529969004807,-2.51854018763078,0.0139734050926518,0.0234749528713865,-3.47983394891763,"hsa-miR-29c-5p","miRNA"
"hsa-miR-451a",2.41637792497066,7.78523351171843,2.5177395937458,0.0140026034671428,0.0234749528713865,-3.48530162299898,"hsa-miR-451a","miRNA"
"hsa-miR-342-3p",-1.62507017942626,5.87854122376262,-2.50699567007825,0.0143997963668173,0.0240524071182003,-3.55896924111161,"hsa-miR-342-3p","miRNA"
"hsa-miR-30a-3p",-1.159038205132,9.90595717765584,-2.41858106859972,0.018073024501667,0.0300777342071538,-3.80824584933008,"hsa-miR-30a-3p","miRNA"
"hsa-miR-324-5p",-1.0653852057271,3.98937643865309,-2.40645003092322,0.0186375540080539,0.0309044531915367,-3.70459245720935,"hsa-miR-324-5p","miRNA"
"hsa-miR-655-3p",2.00560440114727,0.831392296236917,2.39126835359077,0.0193661997112015,0.0319963299576373,-3.49763098229197,"hsa-miR-655-3p","miRNA"
"hsa-miR-101-5p",2.2511596773525,2.70675121580887,2.37337799989015,0.0202573741641981,0.033347879490521,-3.53840545810939,"hsa-miR-101-5p","miRNA"
"hsa-miR-431-5p",1.98257865759633,0.868954065588529,2.3695853721539,0.0204509232151504,0.0335453992306065,-3.54396710296473,"hsa-miR-431-5p","miRNA"
"hsa-miR-494-3p",1.88726073095449,0.712080415303343,2.36382715486993,0.0207479294759386,0.0339105944122868,-3.55598434959794,"hsa-miR-494-3p","miRNA"
"hsa-miR-542-5p",1.51205183948839,0.413418828370878,2.35724217336623,0.0210922783183902,0.0343502818328069,-3.56955717464972,"hsa-miR-542-5p","miRNA"
"hsa-miR-103a-3p",1.76918767652344,13.544660827425,2.32380692532825,0.0229202866891348,0.0371944865845034,-4.0236366273469,"hsa-miR-103a-3p","miRNA"
"hsa-miR-5000-3p",1.69463151874357,0.599547625486796,2.29384485169115,0.024676325078034,0.039902142679374,-3.70244871542162,"hsa-miR-5000-3p","miRNA"
"hsa-miR-627-5p",2.11880420265267,1.02326807945238,2.26930137025817,0.0262023493102268,0.0422200398779627,-3.75356181995597,"hsa-miR-627-5p","miRNA"
"hsa-miR-576-5p",1.44685535693415,3.49869014295424,2.24215160697831,0.0279868426706669,0.0448092020298913,-3.83691186219409,"hsa-miR-576-5p","miRNA"
"hsa-miR-185-3p",-1.4386594569517,1.60865034312496,-2.24187218447125,0.0280057512686821,0.0448092020298913,-3.8918807374282,"hsa-miR-185-3p","miRNA"
"hsa-miR-369-5p",2.27130379501319,2.19301376689979,2.22831568573739,0.0289367257036506,0.0461368773456806,-3.83863869633321,"hsa-miR-369-5p","miRNA"
"hsa-miR-323b-3p",-1.89223995907737,2.13044868625095,-2.22140258275485,0.0294218596403723,0.046746926815365,-4.0035891335339,"hsa-miR-323b-3p","miRNA"
"hsa-miR-939-5p",-1.35899415332956,0.402639754818095,-2.21349411360172,0.0299855884091657,0.0474771816478458,-3.88051844608245,"hsa-miR-939-5p","miRNA"
"hsa-miR-323a-3p",-1.9130873793434,1.76888892562238,-2.20027001221322,0.0309494074899272,0.0488336671813384,-4.01624021857752,"hsa-miR-323a-3p","miRNA"
